"H, A/m","Upper B, T","Lower B, T"
-30.0,-0.18891221577919548,-0.18891221577919548
-29.93993993993994,-0.1885613676553914,-0.18873441137667335
-29.87987987987988,-0.18820986259930272,-0.18855637006601428
-29.81981981981982,-0.1878576987641286,-0.1883780913734151
-29.75975975975976,-0.1875048742961391,-0.1881995748238081
-29.6996996996997,-0.18715138733464293,-0.18802081994085723
-29.63963963963964,-0.18679723601195458,-0.18784182624695345
-29.57957957957958,-0.18644241845336157,-0.18766259326321105
-29.51951951951952,-0.18608693277709115,-0.18748312050946286
-29.45945945945946,-0.18573077709427743,-0.18730340750425611
-29.3993993993994,-0.18537394950892738,-0.18712345376484824
-29.33933933933934,-0.1850164481178877,-0.18694325880720258
-29.27927927927928,-0.18465827101081062,-0.18676282214598394
-29.21921921921922,-0.1842994162701201,-0.18658214329455408
-29.15915915915916,-0.1839398819709775,-0.18640122176496765
-29.0990990990991,-0.1835796661812471,-0.18622005706796763
-29.03903903903904,-0.18321876696146178,-0.18603864871298098
-28.97897897897898,-0.18285718236478776,-0.18585699620811408
-28.91891891891892,-0.18249491043699012,-0.18567509906014845
-28.85885885885886,-0.18213194921639703,-0.1854929567745362
-28.7987987987988,-0.18176829673386474,-0.1853105688553956
-28.73873873873874,-0.18140395101274204,-0.18512793480550654
-28.67867867867868,-0.18103891006883394,-0.1849450541263058
-28.61861861861862,-0.1806731719103662,-0.18476192631788313
-28.55855855855856,-0.18030673453794882,-0.184578550878976
-28.4984984984985,-0.17993959594453962,-0.18439492730696544
-28.43843843843844,-0.1795717541154077,-0.18421105509787122
-28.37837837837838,-0.1792032070280966,-0.1840269337463475
-28.31831831831832,-0.1788339526523869,-0.18384256274567784
-28.25825825825826,-0.1784639889502595,-0.1836579415877711
-28.1981981981982,-0.1780933138758576,-0.18347306976315603
-28.13813813813814,-0.1777219253754494,-0.18328794676097726
-28.07807807807808,-0.1773498213873898,-0.18310257206899022
-28.01801801801802,-0.17697699984208262,-0.18291694517355656
-27.95795795795796,-0.1766034586619419,-0.1827310655596393
-27.8978978978979,-0.17622919576135354,-0.18254493271079814
-27.83783783783784,-0.1758542090466364,-0.18235854610918484
-27.77777777777778,-0.17547849641600316,-0.1821719052355379
-27.71771771771772,-0.1751020557595213,-0.1819850095691784
-27.65765765765766,-0.17472488495907335,-0.18179785858800462
-27.5975975975976,-0.17434698188831732,-0.1816104517684876
-27.53753753753754,-0.17396834441264658,-0.1814227885856659
-27.47747747747748,-0.17358897038914994,-0.1812348685131409
-27.41741741741742,-0.1732088576665709,-0.1810466910230718
-27.35735735735736,-0.17282800408526733,-0.18085825558617086
-27.2972972972973,-0.1724464074771702,-0.18066956167169806
-27.237237237237238,-0.17206406566574273,-0.18048060874745647
-27.177177177177178,-0.17168097646593888,-0.18029139627978713
-27.117117117117118,-0.17129713768416172,-0.18010192373356404
-27.057057057057058,-0.17091254711822168,-0.17991219057218905
-26.996996996996998,-0.17052720255729426,-0.17972219625758667
-26.936936936936938,-0.17014110178187775,-0.17953194025019953
-26.876876876876878,-0.16975424256375066,-0.17934142200898257
-26.816816816816818,-0.16936662266592883,-0.17915064099139844
-26.756756756756758,-0.16897823984262228,-0.17895959665341193
-26.696696696696698,-0.16858909183919177,-0.17876828844948517
-26.636636636636638,-0.16819917639210535,-0.17857671583257229
-26.576576576576578,-0.1678084912288944,-0.17838487825411414
-26.516516516516518,-0.16741703406810943,-0.17819277516403303
-26.456456456456458,-0.16702480261927563,-0.17800040601072775
-26.396396396396398,-0.16663179458284832,-0.17780777024106803
-26.336336336336338,-0.16623800765016805,-0.17761486730038906
-26.276276276276278,-0.16584343950341512,-0.17742169663248675
-26.216216216216218,-0.16544808781556442,-0.17722825767961187
-26.156156156156158,-0.16505195025033959,-0.17703454988246486
-26.096096096096097,-0.1646550244621668,-0.1768405726801905
-26.036036036036037,-0.1642573080961287,-0.17664632551037235
-25.975975975975977,-0.16385879878791781,-0.17645180780902736
-25.915915915915917,-0.16345949416378963,-0.17625701901060065
-25.855855855855857,-0.16305939184051535,-0.17606195854795964
-25.795795795795797,-0.16265848942533476,-0.17586662585238877
-25.735735735735737,-0.1622567845159083,-0.17567102035358395
-25.675675675675677,-0.16185427470026917,-0.175475141479647
-25.615615615615617,-0.16145095755677502,-0.17527898865708008
-25.555555555555557,-0.16104683065405945,-0.17508256131077998
-25.495495495495497,-0.16064189155098302,-0.1748858588640328
-25.435435435435437,-0.1602361377965843,-0.17468888073850797
-25.375375375375377,-0.15982956693003025,-0.17449162635425275
-25.315315315315317,-0.1594221764805665,-0.1742940951296864
-25.255255255255257,-0.1590139639674673,-0.17409628648159486
-25.195195195195197,-0.1586049268999853,-0.17389819982512444
-25.135135135135137,-0.15819506277730072,-0.17369983457377652
-25.075075075075077,-0.1577843690884704,-0.17350119013940135
-25.015015015015017,-0.15737284331237666,-0.17330226593219278
-24.954954954954957,-0.15696048291767561,-0.173103061360682
-24.894894894894897,-0.1565472853627452,-0.17290357583173155
-24.834834834834837,-0.15613324809563311,-0.17270380875052999
-24.774774774774777,-0.15571836855400412,-0.1725037595205855
-24.714714714714717,-0.15530264416508735,-0.17230342754372024
-24.654654654654657,-0.15488607234562302,-0.17210281222006407
-24.594594594594597,-0.15446865050180894,-0.17190191294804896
-24.534534534534536,-0.15405037602924665,-0.17170072912440254
-24.474474474474476,-0.15363124631288733,-0.17149926014414263
-24.414414414414416,-0.15321125872697722,-0.17129750540057048
-24.354354354354356,-0.1527904106350029,-0.17109546428526523
-24.294294294294296,-0.152368699389636,-0.1708931361880775
-24.234234234234236,-0.15194612233267768,-0.17069052049712358
-24.174174174174176,-0.15152267679500292,-0.17048761659877876
-24.114114114114116,-0.15109836009650424,-0.1702844238776714
-24.054054054054056,-0.1506731695460351,-0.17008094171667698
-23.993993993993996,-0.1502471024413531,-0.16987716949691145
-23.933933933933936,-0.14982015606906263,-0.169673106597725
-23.873873873873876,-0.1493923277045575,-0.1694687523966959
-23.813813813813816,-0.14896361461196256,-0.16926410626962424
-23.753753753753756,-0.1485340140440759,-0.16905916759052536
-23.693693693693692,-0.1481035232423097,-0.16885393573162355
-23.633633633633632,-0.1476721394366315,-0.1686484100633457
-23.573573573573572,-0.14723985984550467,-0.16844258995431477
-23.513513513513512,-0.14680668167582858,-0.1682364747713435
-23.453453453453452,-0.14637260212287861,-0.1680300638794276
-23.393393393393392,-0.14593761837024533,-0.16782335664173964
-23.333333333333332,-0.14550172758977387,-0.16761635241962192
-23.273273273273272,-0.14506492694150253,-0.16740905057258076
-23.213213213213212,-0.14462721357360106,-0.16720145045827894
-23.153153153153152,-0.14418858462230857,-0.1669935514325298
-23.093093093093092,-0.14374903721187127,-0.16678535284929003
-23.033033033033032,-0.1433085684544793,-0.1665768540606536
-22.972972972972972,-0.14286717545020383,-0.16636805441684416
-22.912912912912912,-0.14242485528693316,-0.16615895326620939
-22.852852852852852,-0.14198160504030885,-0.16594954995521316
-22.792792792792792,-0.14153742177366108,-0.16573984382842954
-22.73273273273273,-0.14109230253794408,-0.1655298342285353
-22.67267267267267,-0.1406462443716705,-0.16531952049630372
-22.61261261261261,-0.14019924430084615,-0.16510890197059697
-22.55255255255255,-0.13975129933890348,-0.16489797798835976
-22.49249249249249,-0.1393024064866354,-0.16468674788461218
-22.43243243243243,-0.13885256273212815,-0.16447521099244267
-22.37237237237237,-0.13840176505069404,-0.1642633666430009
-22.31231231231231,-0.1379500104048036,-0.16405121416549107
-22.25225225225225,-0.13749729574401734,-0.16383875288716443
-22.19219219219219,-0.13704361800491716,-0.16362598213331248
-22.13213213213213,-0.1365889741110372,-0.16341290122725954
-22.07207207207207,-0.1361333609727943,-0.163199509490356
-22.01201201201201,-0.1356767754874181,-0.16298580624197057
-21.95195195195195,-0.13521921453888042,-0.16277179079948345
-21.89189189189189,-0.1347606749978246,-0.1625574624782789
-21.83183183183183,-0.13430115372149393,-0.16234282059173816
-21.77177177177177,-0.13384064755366004,-0.1621278644512315
-21.71171171171171,-0.13337915332455058,-0.16191259336611186
-21.65165165165165,-0.13291666785077638,-0.1616970066437063
-21.59159159159159,-0.1324531879352585,-0.16148110358930967
-21.53153153153153,-0.13198871036715426,-0.16126488350617624
-21.47147147147147,-0.1315232319217833,-0.1610483456955129
-21.41141141141141,-0.13105674936055295,-0.16083148945647097
-21.35135135135135,-0.13058925943088293,-0.16061431408613946
-21.29129129129129,-0.13012075886613006,-0.16039681887953655
-21.23123123123123,-0.12965124438551184,-0.16017900312960276
-21.17117117117117,-0.1291807126940302,-0.1599608661271928
-21.11111111111111,-0.1287091604823941,-0.15974240716106797
-21.05105105105105,-0.1282365844269422,-0.15952362551788862
-20.99099099099099,-0.12776298118956458,-0.15930452048220617
-20.93093093093093,-0.12728834741762435,-0.1590850913364555
-20.87087087087087,-0.12681267974387828,-0.15886533736094682
-20.81081081081081,-0.1263359747863975,-0.15864525783385813
-20.75075075075075,-0.12585822914848696,-0.1584248520312272
-20.69069069069069,-0.12537943941860508,-0.1582041192269435
-20.63063063063063,-0.12489960217028241,-0.15798305869274037
-20.57057057057057,-0.12441871396203988,-0.157761669698187
-20.51051051051051,-0.12393677133730653,-0.15753995151068045
-20.45045045045045,-0.12345377082433676,-0.15731790339543728
-20.39039039039039,-0.12296970893612684,-0.15709552461548582
-20.33033033033033,-0.12248458217033113,-0.15687281443165763
-20.27027027027027,-0.12199838700917752,-0.15664977210257974
-20.21021021021021,-0.12151111991938245,-0.15642639688466603
-20.15015015015015,-0.12102277735206525,-0.15620268803210924
-20.09009009009009,-0.12053335574266211,-0.1559786447968724
-20.03003003003003,-0.12004285151083917,-0.1557542664286809
-19.96996996996997,-0.11955126106040545,-0.15552955217501352
-19.90990990990991,-0.1190585807792247,-0.15530450128109485
-19.84984984984985,-0.11856480703912713,-0.15507911298988575
-19.78978978978979,-0.11806993619582024,-0.1548533865420761
-19.72972972972973,-0.11757396458879923,-0.15462732117607503
-19.66966966966967,-0.11707688854125668,-0.1544009161280035
-19.60960960960961,-0.11657870435999179,-0.15417417063168476
-19.54954954954955,-0.11607940833531874,-0.15394708391863632
-19.48948948948949,-0.11557899674097483,-0.15371965521806102
-19.42942942942943,-0.11507746583402757,-0.1534918837568383
-19.36936936936937,-0.11457481185478158,-0.15326376875951553
-19.30930930930931,-0.11407103102668438,-0.15303530944829907
-19.24924924924925,-0.11356611955623208,-0.15280650504304566
-19.18918918918919,-0.11306007363287397,-0.15257735476125328
-19.12912912912913,-0.11255288942891672,-0.1523478578180525
-19.06906906906907,-0.1120445630994279,-0.15211801342619719
-19.00900900900901,-0.11153509078213876,-0.15188782079605584
-18.94894894894895,-0.11102446859734647,-0.15165727913560229
-18.88888888888889,-0.11051269264781557,-0.15142638765040684
-18.82882882882883,-0.10999975901867895,-0.15119514554362679
-18.76876876876877,-0.10948566377733786,-0.15096355201599787
-18.70870870870871,-0.10897040297336147,-0.15073160626582421
-18.64864864864865,-0.1084539726383858,-0.15049930748897006
-18.58858858858859,-0.10793636878601158,-0.1502666548788495
-18.52852852852853,-0.107417587411702,-0.15003364762641785
-18.46846846846847,-0.10689762449267917,-0.14980028492016195
-18.40840840840841,-0.1063764759878203,-0.1495665659460909
-18.34834834834835,-0.10585413783755288,-0.14933248988772635
-18.28828828828829,-0.10533060596374944,-0.14909805592609332
-18.22822822822823,-0.10480587626962123,-0.14886326323971028
-18.16816816816817,-0.10427994463961152,-0.14862811100458
-18.10810810810811,-0.10375280693928786,-0.1483925983941795
-18.04804804804805,-0.10322445901523389,-0.14815672457945056
-17.98798798798799,-0.10269489669494007,-0.14792048872879004
-17.92792792792793,-0.10216411578669407,-0.1476838900080399
-17.86786786786787,-0.10163211207946996,-0.14744692758047762
-17.80780780780781,-0.10109888134281696,-0.14720960060680627
-17.74774774774775,-0.10056441932674727,-0.1469719082451444
-17.68768768768769,-0.10002872176162321,-0.14673384965101632
-17.62762762762763,-0.09949178435804343,-0.1464954239773421
-17.56756756756757,-0.09895360280672849,-0.14625663037442738
-17.50750750750751,-0.09841417277840558,-0.14601746798995335
-17.447447447447445,-0.09787348992369238,-0.1457779359689666
-17.387387387387385,-0.09733154987298029,-0.14553803345386895
-17.327327327327325,-0.09678834823631652,-0.14529775958440716
-17.267267267267265,-0.09624388060328568,-0.14505711349766276
-17.207207207207205,-0.09569814254289044,-0.14481609432804166
-17.147147147147145,-0.09515112960343125,-0.14457470120726368
-17.087087087087085,-0.09460283731238534,-0.14433293326435215
-17.027027027027025,-0.09405326117628479,-0.14409078962562372
-16.966966966966964,-0.09350239668059385,-0.14384826941467732
-16.906906906906904,-0.0929502392895852,-0.14360537175238408
-16.846846846846844,-0.09239678444621557,-0.14336209575687642
-16.786786786786784,-0.09184202757200036,-0.14311844054353745
-16.726726726726724,-0.0912859640668873,-0.1428744052249903
-16.666666666666664,-0.09072858930912944,-0.14262998891108725
-16.606606606606604,-0.09016989865515695,-0.14238519070889893
-16.546546546546544,-0.08960988743944832,-0.14214000972270352
-16.486486486486484,-0.08904855097440034,-0.14189444505397586
-16.426426426426424,-0.08848588455019744,-0.14164849580137628
-16.366366366366364,-0.08792188343467987,-0.1414021610607396
-16.306306306306304,-0.08735654287321108,-0.1411554399250644
-16.246246246246244,-0.08678985808854411,-0.14090833148450138
-16.186186186186184,-0.08622182428068702,-0.1406608348263425
-16.126126126126124,-0.08565243662676736,-0.14041294903500973
-16.066066066066064,-0.08508169028089568,-0.1401646731920435
-16.006006006006004,-0.08450958037402806,-0.13991600637609186
-15.945945945945946,-0.08393610201382766,-0.1396669476628985
-15.885885885885886,-0.0833612502845252,-0.13941749612529164
-15.825825825825826,-0.08278502024677858,-0.13916765083317245
-15.765765765765765,-0.08220740693753142,-0.13891741085350362
-15.705705705705705,-0.08162840536987048,-0.1386667752502974
-15.645645645645645,-0.08104801053288221,-0.1384157430846043
-15.585585585585585,-0.0804662173915082,-0.13816431341450125
-15.525525525525525,-0.0798830208863995,-0.13791248529507966
-15.465465465465465,-0.07929841593377007,-0.13766025777843371
-15.405405405405405,-0.07871239742524903,-0.13740762991364852
-15.345345345345345,-0.07812496022773177,-0.13715460074678815
-15.285285285285285,-0.0775360991832302,-0.13690116932088353
-15.225225225225225,-0.07694580910872176,-0.1366473346759205
-15.165165165165165,-0.07635408479599724,-0.13639309584882747
-15.105105105105105,-0.07576092101150778,-0.13613845187346357
-15.045045045045045,-0.07516631249621043,-0.1358834017806062
-14.984984984984985,-0.0745702539654128,-0.1356279445979388
-14.924924924924925,-0.07397274010861647,-0.1353720793500383
-14.864864864864865,-0.07337376558935929,-0.13511580505836307
-14.804804804804805,-0.07277332504505651,-0.13485912074124018
-14.744744744744745,-0.07217141308684075,-0.13460202541385297
-14.684684684684685,-0.0715680242994007,-0.13434451808822828
-14.624624624624625,-0.07096315324081891,-0.13408659777322413
-14.564564564564565,-0.07035679444240796,-0.13382826347451665
-14.504504504504505,-0.06974894240854582,-0.13356951419458762
-14.444444444444445,-0.06913959161650972,-0.13331034893271126
-14.384384384384385,-0.06852873651630896,-0.1330507666849417
-14.324324324324325,-0.06791637153051636,-0.13279076644409982
-14.264264264264265,-0.06730249105409855,-0.1325303471997603
-14.204204204204204,-0.0666870894542449,-0.13226950793823833
-14.144144144144144,-0.06607016107019531,-0.1320082476425768
-14.084084084084084,-0.06545170021306657,-0.13174656529253287
-14.024024024024024,-0.06483170116567755,-0.1314844598645647
-13.963963963963963,-0.06421015818237298,-0.13122193033181795
-13.903903903903903,-0.06358706548884605,-0.1309589756641128
-13.843843843843842,-0.06296241728195946,-0.1306955948279302
-13.783783783783782,-0.06233620772956538,-0.13043178678639822
-13.723723723723722,-0.06170843097032387,-0.13016755049927864
-13.663663663663662,-0.061079081113520034,-0.12990288492295315
-13.603603603603602,-0.06044815223887976,-0.12963778901040984
-13.543543543543542,-0.05981563839638409,-0.12937226171122906
-13.483483483483482,-0.059181533606082144,-0.12910630197156975
-13.423423423423422,-0.05854583185790272,-0.12883990873415546
-13.363363363363362,-0.05790852711146437,-0.12857308093826042
-13.303303303303302,-0.057269613295884085,-0.12830581751969533
-13.243243243243242,-0.05662908430958456,-0.12803811741079318
-13.183183183183182,-0.05598693402009992,-0.12776997954039515
-13.123123123123122,-0.055343156263880026,-0.12750140283383649
-13.063063063063062,-0.05469774484609329,-0.1272323862129317
-13.003003003003002,-0.05405069354042795,-0.12696292859596042
-12.942942942942942,-0.053403482018452034,-0.12669302889765294
-12.882882882882882,-0.05275790689258262,-0.1264226860291756
-12.822822822822822,-0.052113966049491325,-0.12615189889811607
-12.762762762762762,-0.05147165329120751,-0.12588066640846857
-12.702702702702702,-0.050830962451061786,-0.12560898746061933
-12.642642642642642,-0.05019188739348869,-0.12533686095133162
-12.582582582582582,-0.04955442201383082,-0.1250642857737307
-12.522522522522522,-0.04891856023814444,-0.12479126081728882
-12.462462462462462,-0.04828429602300658,-0.1245177849678104
-12.402402402402402,-0.04765162335532357,-0.12424385710741663
-12.342342342342342,-0.04702053625214102,-0.12396947611453026
-12.282282282282281,-0.04639102876045521,-0.12369464086386033
-12.222222222222221,-0.045763094957025914,-0.12341935022638688
-12.162162162162161,-0.04513672894819063,-0.12314360306934531
-12.102102102102101,-0.0445119248696802,-0.122867398256211
-12.042042042042041,-0.04388867688643573,-0.1225907346466835
-11.981981981981981,-0.043266979192427044,-0.12231361109667115
-11.921921921921921,-0.042646826010472316,-0.12203602645827503
-11.861861861861861,-0.04202821159205914,-0.1217579795797732
-11.801801801801801,-0.041411130217166914,-0.12147946930560473
-11.741741741741741,-0.04079557619409055,-0.12120049447635388
-11.681681681681681,-0.04018154385926544,-0.12092105392873377
-11.621621621621621,-0.0395690275770938,-0.12064114649557033
-11.561561561561561,-0.03895802173977225,-0.12036077100578597
-11.501501501501501,-0.03834852076712065,-0.12007992628438345
-11.441441441441441,-0.03774051910641224,-0.11979861115242925
-11.381381381381381,-0.037134011232205014,-0.11951682442703711
-11.32132132132132,-0.036528991646174354,-0.11923456492135152
-11.26126126126126,-0.03592545487694685,-0.11895183144453102
-11.2012012012012,-0.03532339547993538,-0.11866862280173156
-11.14114114114114,-0.034722808037175396,-0.11838493779408941
-11.08108108108108,-0.03412368715716238,-0.11810077521870445
-11.02102102102102,-0.03352602747469054,-0.1178161338686232
-10.96096096096096,-0.032929823650692636,-0.11753101253282157
-10.9009009009009,-0.03233507037208097,-0.11724540999618775
-10.84084084084084,-0.03174176235158965,-0.11695932503950503
-10.78078078078078,-0.03114989432761778,-0.11667275643943432
-10.72072072072072,-0.03055946106407403,-0.11638570296849689
-10.66066066066066,-0.029970457350222184,-0.11609816339505662
-10.6006006006006,-0.029382878000527846,-0.11581013648330248
-10.54054054054054,-0.028796717854506278,-0.11552162099323095
-10.48048048048048,-0.028211971776571327,-0.11523261568062808
